Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1u,C_0603_1608Metric,135.8,-102.6,90.0,top
C4,1u,C_0603_1608Metric,148.3,-81.7,0.0,top
C5,1u,C_0603_1608Metric,200.8,-142.3,0.0,top
C6,1u,C_0603_1608Metric,111.0,-153.5,90.0,top
C7,1u,C_0603_1608Metric,178.7,-105.1,0.0,top
C8,1u,C_0603_1608Metric,204.075,-143.8,180.0,top
C9,1u,C_0603_1608Metric,196.0,-105.0,180.0,top
C10,1u,C_0603_1608Metric,204.075,-142.3,180.0,top
C11,1u,C_0603_1608Metric,159.4,-81.7,0.0,top
C12,1u,C_0603_1608Metric,165.9,-105.1,0.0,top
C13,1u,C_0603_1608Metric,188.5,-105.0,180.0,top
C14,1u,C_0603_1608Metric,181.9,-105.1,0.0,top
C15,22u,C_1206_3216Metric,117.0,-123.524999,-90.0,top
C16,100nf,C_0603_1608Metric,213.5,-163.4,-90.0,top
C17,20pf,C_0603_1608Metric,211.9,-150.2,-90.0,top
C18,100nf,C_0603_1608Metric,201.5,-166.4,-90.0,top
C19,20pf,C_0603_1608Metric,206.1,-150.2,90.0,top
C20,100nf,C_0603_1608Metric,201.5,-151.0,90.0,top
C21,1uf,C_0603_1608Metric,200.0,-166.4,-90.0,top
C22,100nf,C_0603_1608Metric,199.0,-157.9,180.0,top
C23,100nf,C_0603_1608Metric,213.0,-159.4,0.0,top
C24,1uf,C_0603_1608Metric,199.0,-159.4,180.0,top
C25,100nf,C_0603_1608Metric,200.0,-163.4,180.0,top
C26,100nf,C_0603_1608Metric,213.0,-156.4,0.0,top
C27,100nf,C_0603_1608Metric,213.0,-157.9,0.0,top
C28,100nf,C_0603_1608Metric,203.0,-151.0,90.0,top
C29,100nf,C_0603_1608Metric,204.5,-151.0,90.0,top
C30,1n,C_1206_3216Metric,101.4,-18.85,-90.0,top
C31,1n,C_1206_3216Metric,109.4,-18.7125,-90.0,top
C32,1n,C_1206_3216Metric,117.5,-18.7125,-90.0,top
C33,1n,C_1206_3216Metric,117.35,-37.7125,-90.0,top
C34,1n,C_1206_3216Metric,117.4,-56.7125,-90.0,top
C35,1n,C_1206_3216Metric,117.4375,-94.75,-90.0,top
C36,1n,C_1206_3216Metric,125.4375,-18.75,-90.0,top
C37,1n,C_1206_3216Metric,117.4375,-75.75,-90.0,top
C38,1n,C_1206_3216Metric,125.4,-37.75,-90.0,top
C39,1n,C_1206_3216Metric,125.4375,-75.75,-90.0,top
C40,1n,C_1206_3216Metric,125.4375,-94.75,-90.0,top
C41,1n,C_1206_3216Metric,125.4375,-56.75,-90.0,top
C42,1n,C_1206_3216Metric,133.4375,-18.75,-90.0,top
C43,1n,C_1206_3216Metric,141.4,-18.75,-90.0,top
C44,1n,C_1206_3216Metric,133.4375,-94.75,-90.0,top
C45,1n,C_1206_3216Metric,133.4375,-37.75,-90.0,top
C46,1n,C_1206_3216Metric,133.4375,-75.75,-90.0,top
C47,1n,C_1206_3216Metric,149.4375,-18.75,-90.0,top
C48,1n,C_1206_3216Metric,141.4,-75.85,-90.0,top
C49,1n,C_1206_3216Metric,133.4375,-56.75,-90.0,top
C50,1n,C_1206_3216Metric,141.4,-56.85,-90.0,top
C51,1n,C_1206_3216Metric,149.4375,-56.75,-90.0,top
C52,1n,C_1206_3216Metric,149.4,-37.7125,-90.0,top
C53,1n,C_1206_3216Metric,141.4375,-37.75,-90.0,top
C54,1n,C_1206_3216Metric,157.4375,-56.75,-90.0,top
C55,1n,C_1206_3216Metric,157.4375,-18.75,-90.0,top
C56,1n,C_1206_3216Metric,165.4375,-56.75,-90.0,top
C57,1n,C_1206_3216Metric,157.4375,-37.75,-90.0,top
C58,1n,C_1206_3216Metric,165.4375,-37.75,-90.0,top
C59,1n,C_1206_3216Metric,173.4,-75.85,-90.0,top
C60,1n,C_1206_3216Metric,173.4375,-56.75,-90.0,top
C61,1n,C_1206_3216Metric,165.4375,-18.75,-90.0,top
C62,1n,C_1206_3216Metric,173.4375,-37.75,-90.0,top
C63,1n,C_1206_3216Metric,181.4,-75.75,-90.0,top
C64,1n,C_1206_3216Metric,181.4,-56.75,-90.0,top
C65,1n,C_1206_3216Metric,173.4375,-18.75,-90.0,top
C66,1n,C_1206_3216Metric,181.4375,-37.75,-90.0,top
C67,1n,C_1206_3216Metric,189.4,-75.75,-90.0,top
C68,1n,C_1206_3216Metric,189.4,-56.75,-90.0,top
C69,1n,C_1206_3216Metric,181.4375,-18.75,-90.0,top
C70,1n,C_1206_3216Metric,189.4375,-37.75,-90.0,top
C71,1n,C_1206_3216Metric,197.4375,-75.75,-90.0,top
C72,1n,C_1206_3216Metric,197.4375,-56.75,-90.0,top
C73,1n,C_1206_3216Metric,189.4375,-18.75,-90.0,top
C74,1n,C_1206_3216Metric,197.4375,-37.75,-90.0,top
C75,1n,C_1206_3216Metric,205.4,-75.85,-90.0,top
C76,1n,C_1206_3216Metric,205.4,-56.85,-90.0,top
C77,1n,C_1206_3216Metric,197.4375,-18.75,-90.0,top
C78,1n,C_1206_3216Metric,205.4,-37.85,-90.0,top
C79,1n,C_1206_3216Metric,213.4,-94.85,-90.0,top
C80,1n,C_1206_3216Metric,213.4,-75.85,-90.0,top
C81,1n,C_1206_3216Metric,205.4,-18.85,-90.0,top
C82,1n,C_1206_3216Metric,213.4375,-56.75,-90.0,top
C83,1n,C_1206_3216Metric,213.4,-18.85,-90.0,top
C84,1n,C_1206_3216Metric,221.4,-94.85,-90.0,top
C85,1n,C_1206_3216Metric,213.4375,-37.75,-90.0,top
C86,1n,C_1206_3216Metric,221.4375,-75.75,-90.0,top
C87,1n,C_1206_3216Metric,221.4,-37.7125,-90.0,top
C88,1n,C_1206_3216Metric,221.4,-18.7125,-90.0,top
C89,1n,C_1206_3216Metric,221.4375,-56.75,-90.0,top
C90,1n,C_1206_3216Metric,229.4,-94.85,-90.0,top
C91,1n,C_1206_3216Metric,229.4,-56.85,-90.0,top
C92,1n,C_1206_3216Metric,229.4,-37.7125,-90.0,top
C93,1n,C_1206_3216Metric,229.4375,-75.75,-90.0,top
C94,22u,C_1206_3216Metric,113.5,-149.0,90.0,top
C95,100n,C_0603_1608Metric,124.5,-119.5,0.0,top
C96,100n,C_0603_1608Metric,124.5,-116.5,180.0,top
C97,22u,C_1206_3216Metric,122.2,-123.6,-90.0,top
C98,22u,C_1206_3216Metric,124.7,-123.6,90.0,top
C99,100n,C_0603_1608Metric,118.6,-119.8,0.0,top
C100,100n,C_0603_1608Metric,147.0,-124.5,-90.0,top
C102,100n,C_0603_1608Metric,145.0,-110.0,90.0,top
C103,100u,CP_Elec_8x10,139.5,-110.0,270.0,top
C105,4.7uF 500V,C_Elec_8x10.2,131.0,-121.0,-90.0,top
C107,10nF,C_0603_1608Metric,230.0,-146.1,180.0,top
C108,100u,CP_Elec_8x10,219.0,-166.0,90.0,top
C109,22u,C_1206_3216Metric,224.0,-142.6,90.0,top
C1001,1uF,C_0603_1608Metric,111.4125,-109.1125,180.0,top
